ééå±âÒêî,éûä‘[sec],à⁄ìÆó [mm],â◊èd[N]
1,12.6,2.07997912913561,4.52995300292969E-02
1,12.72,2.09997892845422,3.63588333129883E-02
1,12.84,2.11997872777283,0.044703483581543
1,12.95,2.13997852709144,3.45706939697266E-02
1,13.07,2.15997832641006,4.41074371337891E-02
1,13.2,2.17997812572867,3.93390655517578E-02
1,13.31,2.19997792504728,4.11272048950195E-02
1,13.43,2.21997772436589,4.23192977905273E-02
1,13.55,2.2399775236845,4.64916229248047E-02
1,13.67,2.25997732300311,4.11272048950195E-02
1,13.79,2.27997712232172,4.17232513427734E-02
1,13.91,2.29997692164034,4.05311584472656E-02
1,14.02,2.31997672095895,4.29153442382813E-02
1,14.14,2.33997652027756,0.044703483581543
1,14.26,2.35997631959617,5.42402267456055E-02
1,14.38,2.37997611891478,4.41074371337891E-02
1,14.5,2.39997591823339,4.64916229248047E-02
1,14.62,2.41997571755201,0.044703483581543
1,14.74,2.43997551687062,4.17232513427734E-02
1,14.86,2.45997531618923,0.050663948059082
1,14.98,2.47997511550784,5.24520874023438E-02
1,15.1,2.49997491482645,5.00679016113281E-02
1,15.21,2.51997471414506,4.58955764770508E-02
1,15.33,2.53997451346368,4.41074371337891E-02
1,15.45,2.55997431278229,4.52995300292969E-02
1,15.57,2.5799741121009,5.12599945068359E-02
1,15.69,2.59997391141951,0.050663948059082
1,15.81,2.61997371073812,5.24520874023438E-02
1,15.93,2.63997351005673,5.36441802978516E-02
1,16.05,2.65997330937535,6.25848770141602E-02
1,16.17,2.67997310869396,6.07967376708984E-02
1,16.29,2.69997290801257,4.82797622680664E-02
1,16.4,2.71997270733118,4.64916229248047E-02
1,16.52,2.73997250664979,4.70876693725586E-02
1,16.64,2.7599723059684,5.42402267456055E-02
1,16.76,2.77997210528702,5.30481338500977E-02
1,16.88,2.79997190460563,5.60283660888672E-02
1,17,2.81997170392424,5.42402267456055E-02
1,17.12,2.83997150324285,5.84125518798828E-02
1,17.23,2.85997130256146,5.60283660888672E-02
1,17.36,2.87997110188007,5.30481338500977E-02
1,17.47,2.89997090119869,5.12599945068359E-02
1,17.59,2.9199707005173,5.90085983276367E-02
1,17.71,2.93997049983591,5.60283660888672E-02
1,17.83,2.95997029915452,5.84125518798828E-02
1,17.95,2.97997009847313,5.30481338500977E-02
1,18.07,2.99996989779174,5.30481338500977E-02
1,18.19,3.01996969711035,5.60283660888672E-02
1,18.3,3.03996949642897,5.60283660888672E-02
1,18.42,3.05996929574758,5.84125518798828E-02
1,18.54,3.07996909506619,5.66244125366211E-02
1,18.66,3.0999688943848,6.31809234619141E-02
1,18.78,3.11996869370341,0.057220458984375
1,18.9,3.13996849302202,6.07967376708984E-02
1,19.02,3.15996829234064,6.13927841186523E-02
1,19.14,3.17996809165925,0.063776969909668
1,19.26,3.19996789097786,6.85453414916992E-02
1,19.37,3.21996769029647,6.61611557006836E-02
1,19.49,3.23996748961508,6.55651092529297E-02
1,19.61,3.25996728893369,6.25848770141602E-02
1,19.73,3.27996708825231,6.43730163574219E-02
1,19.85,3.29996688757092,5.96046447753906E-02
1,19.97,3.31996668688953,7.15255737304688E-02
1,20.09,3.33996648620814,6.25848770141602E-02
1,20.21,3.35996628552675,6.67572021484375E-02
1,20.33,3.37996608484536,5.84125518798828E-02
1,20.45,3.39996588416398,6.49690628051758E-02
1,20.56,3.41996568348259,6.79492950439453E-02
1,20.68,3.4399654828012,6.43730163574219E-02
1,20.8,3.45996528211981,7.03334808349609E-02
1,20.92,3.47996508143842,7.21216201782227E-02
1,21.04,3.49996488075703,6.91413879394531E-02
1,21.16,3.51996468007565,6.61611557006836E-02
1,21.28,3.53996447939426,6.79492950439453E-02
1,21.39,3.55996427871287,7.09295272827148E-02
1,21.52,3.57996407803148,6.91413879394531E-02
1,21.63,3.59996387735009,6.49690628051758E-02
1,21.75,3.6199636766687,7.21216201782227E-02
1,21.87,3.63996347598732,7.09295272827148E-02
1,21.99,3.65996327530593,7.03334808349609E-02
1,22.11,3.67996307462454,7.45058059692383E-02
1,22.23,3.69996287394315,6.49690628051758E-02
1,22.35,3.71996267326176,6.49690628051758E-02
1,22.46,3.73996247258037,0.0762939453125
1,22.58,3.75996227189898,0.069737434387207
1,22.7,3.7799620712176,6.07967376708984E-02
1,22.82,3.79996187053621,6.25848770141602E-02
1,22.94,3.81996166985482,6.91413879394531E-02
1,23.06,3.83996146917343,7.15255737304688E-02
1,23.18,3.85996126849204,7.92741775512695E-02
1,23.3,3.87996106781066,7.86781311035156E-02
1,23.42,3.89996086712927,7.51018524169922E-02
1,23.53,3.91996066644788,0.069737434387207
1,23.65,3.93996046576649,7.68899917602539E-02
1,23.77,3.9599602650851,7.80820846557617E-02
1,23.89,3.97996006440371,7.56978988647461E-02
1,24.01,3.99995986372232,7.21216201782227E-02
1,24.13,4.01995966304094,7.33137130737305E-02
1,24.25,4.03995946235955,7.86781311035156E-02
1,24.37,4.05995926167816,8.34465026855469E-02
1,24.49,4.07995906099677,8.16583633422852E-02
1,24.61,4.09995886031538,0.082850456237793
1,24.72,4.11995865963399,7.80820846557617E-02
1,24.84,4.13995845895261,7.80820846557617E-02
1,24.96,4.15995825827122,8.34465026855469E-02
1,25.08,4.17995805758983,7.86781311035156E-02
1,25.2,4.19995785690844,8.04662704467773E-02
1,25.32,4.21995765622705,7.74860382080078E-02
1,25.44,4.23995745554566,8.04662704467773E-02
1,25.55,4.25995725486428,7.98702239990234E-02
1,25.68,4.27995705418289,8.22544097900391E-02
1,25.8,4.2999568535015,0.082850456237793
1,25.91,4.31995665282011,7.92741775512695E-02
1,26.03,4.33995645213872,1.07288360595703E-02
1,26.15,4.35995625145733,-5.96046447753906E-03
1,26.27,4.37995605077595,8.34465026855469E-03
1,26.39,4.39995585009456,6.55651092529297E-03
1,26.51,4.41995564941317,0
1,26.62,4.43995544873178,4.17232513427734E-03
1,26.74,4.45995524805039,4.17232513427734E-03
1,26.86,4.479955047369,5.96046447753906E-04
1,26.98,4.49995484668762,0
1,27.1,4.51995464600623,6.55651092529297E-03
1,27.22,4.53995444532484,0
1,27.34,4.55995424464345,4.76837158203125E-03
1,27.46,4.57995404396206,3.57627868652344E-03
1,27.58,4.59995384328067,-5.96046447753906E-04
1,27.69,4.61995364259928,0
1,27.81,4.6399534419179,-1.78813934326172E-03
1,27.93,4.65995324123651,-1.19209289550781E-03
1,28.05,4.67995304055512,-1.19209289550781E-03
1,28.17,4.69995283987373,1.78813934326172E-03
1,28.29,4.71995263919234,-5.96046447753906E-04
1,28.41,4.73995243851095,7.15255737304688E-03
1,28.53,4.75995223782957,1.78813934326172E-03
1,28.65,4.77995203714818,-4.17232513427734E-03
1,28.77,4.79995183646679,5.96046447753906E-03
1,28.88,4.8199516357854,1.78813934326172E-03
1,29,4.83995143510401,2.98023223876953E-03
1,29.12,4.85995123442262,2.98023223876953E-03
