ééå±âÒêî,éûä‘[sec],à⁄ìÆó [mm],â◊èd[N]
1,20.5,3.4399654828012,5.18560409545898E-02
1,20.62,3.45996528211981,5.12599945068359E-02
1,20.74,3.47996508143842,5.84125518798828E-02
1,20.85,3.49996488075703,5.60283660888672E-02
1,20.97,3.51996468007565,4.88758087158203E-02
1,21.09,3.53996447939426,4.76837158203125E-02
1,21.21,3.55996427871287,4.82797622680664E-02
1,21.33,3.57996407803148,5.66244125366211E-02
1,21.44,3.59996387735009,5.00679016113281E-02
1,21.56,3.6199636766687,5.12599945068359E-02
1,21.68,3.63996347598732,4.70876693725586E-02
1,21.8,3.65996327530593,5.00679016113281E-02
1,21.92,3.67996307462454,4.94718551635742E-02
1,22.03,3.69996287394315,5.36441802978516E-02
1,22.15,3.71996267326176,5.00679016113281E-02
1,22.27,3.73996247258037,5.18560409545898E-02
1,22.39,3.75996227189898,0.057220458984375
1,22.5,3.7799620712176,5.42402267456055E-02
1,22.62,3.79996187053621,5.96046447753906E-02
1,22.74,3.81996166985482,6.19888305664063E-02
1,22.86,3.83996146917343,5.48362731933594E-02
1,22.97,3.85996126849204,5.78165054321289E-02
1,23.09,3.87996106781066,6.07967376708984E-02
1,23.21,3.89996086712927,5.96046447753906E-02
1,23.33,3.91996066644788,5.48362731933594E-02
1,23.45,3.93996046576649,5.30481338500977E-02
1,23.56,3.9599602650851,5.42402267456055E-02
1,23.68,3.97996006440371,0.057220458984375
1,23.8,3.99995986372232,5.48362731933594E-02
1,23.92,4.01995966304094,5.00679016113281E-02
1,24.04,4.03995946235955,5.48362731933594E-02
1,24.15,4.05995926167816,5.30481338500977E-02
1,24.27,4.07995906099677,5.84125518798828E-02
1,24.39,4.09995886031538,5.96046447753906E-02
1,24.51,4.11995865963399,6.02006912231445E-02
1,24.63,4.13995845895261,6.19888305664063E-02
1,24.74,4.15995825827122,6.61611557006836E-02
1,24.86,4.17995805758983,5.84125518798828E-02
1,24.98,4.19995785690844,6.02006912231445E-02
1,25.1,4.21995765622705,5.78165054321289E-02
1,25.22,4.23995745554566,6.61611557006836E-02
1,25.33,4.25995725486428,6.31809234619141E-02
1,25.45,4.27995705418289,6.02006912231445E-02
1,25.57,4.2999568535015,7.03334808349609E-02
1,25.68,4.31995665282011,0.069737434387207
1,25.81,4.33995645213872,6.91413879394531E-02
1,25.92,4.35995625145733,6.79492950439453E-02
1,26.04,4.37995605077595,6.43730163574219E-02
1,26.16,4.39995585009456,6.67572021484375E-02
1,26.27,4.41995564941317,0.069737434387207
1,26.39,4.43995544873178,0.063776969909668
1,26.51,4.45995524805039,7.15255737304688E-02
1,26.63,4.479955047369,7.03334808349609E-02
1,26.75,4.49995484668762,7.21216201782227E-02
1,26.86,4.51995464600623,6.67572021484375E-02
1,26.98,4.53995444532484,6.79492950439453E-02
1,27.1,4.55995424464345,7.09295272827148E-02
1,27.22,4.57995404396206,6.25848770141602E-02
1,27.34,4.59995384328067,6.73532485961914E-02
1,27.45,4.61995364259928,7.15255737304688E-02
1,27.58,4.6399534419179,7.27176666259766E-02
1,27.69,4.65995324123651,7.27176666259766E-02
1,27.81,4.67995304055512,7.68899917602539E-02
1,27.93,4.69995283987373,7.51018524169922E-02
1,28.04,4.71995263919234,7.33137130737305E-02
1,28.16,4.73995243851095,6.49690628051758E-02
1,28.28,4.75995223782957,7.68899917602539E-02
1,28.4,4.77995203714818,7.09295272827148E-02
1,28.52,4.79995183646679,6.91413879394531E-02
1,28.63,4.8199516357854,7.39097595214844E-02
1,28.75,4.83995143510401,0.0762939453125
1,28.87,4.85995123442262,6.02006912231445E-02
1,28.99,4.87995103374124,0.063776969909668
1,29.11,4.89995083305985,7.21216201782227E-02
1,29.22,4.91995063237846,7.39097595214844E-02
1,29.34,4.93995043169707,0.069737434387207
1,29.46,4.95995023101568,7.21216201782227E-02
1,29.58,4.97995003033429,0.069737434387207
1,29.7,4.99994982965291,7.15255737304688E-02
1,29.81,5.01994962897152,6.91413879394531E-02
1,29.93,5.03994942829013,7.27176666259766E-02
1,30.05,5.05994922760874,8.46385955810547E-02
1,30.17,5.07994902692735,7.45058059692383E-02
1,30.29,5.09994882624596,7.45058059692383E-02
1,30.4,5.11994862556458,7.45058059692383E-02
1,30.52,5.13994842488319,0.0762939453125
1,30.64,5.1599482242018,8.52346420288086E-02
1,30.76,5.17994802352041,8.58306884765625E-02
1,30.88,5.19994782283902,8.04662704467773E-02
1,30.99,5.21994762215763,8.10623168945313E-02
1,31.11,5.23994742147625,7.80820846557617E-02
1,31.23,5.25994722079486,0.0762939453125
1,31.35,5.27994702011347,0.082850456237793
1,31.46,5.29994681943208,7.39097595214844E-02
1,31.58,5.31994661875069,8.40425491333008E-02
1,31.7,5.3399464180693,8.94069671630859E-02
1,31.82,5.35994621738791,8.04662704467773E-02
1,31.94,5.37994601670653,7.80820846557617E-02
1,32.05,5.39994581602514,8.58306884765625E-02
1,32.17,5.41994561534375,8.40425491333008E-02
1,32.29,5.43994541466236,8.46385955810547E-02
1,32.41,5.45994521398097,8.40425491333008E-02
1,32.53,5.47994501329958,8.52346420288086E-02
1,32.64,5.4999448126182,9.23871994018555E-02
1,32.76,5.51994461193681,8.76188278198242E-02
1,32.88,5.53994441125542,8.10623168945313E-02
1,33,5.55994421057403,8.64267349243164E-02
1,33.12,5.57994400989264,9.05990600585938E-02
1,33.23,5.59994380921125,7.86781311035156E-02
1,33.35,5.61994360852987,9.00030136108398E-02
1,33.47,5.63994340784848,9.05990600585938E-02
1,33.59,5.65994320716709,8.40425491333008E-02
1,33.71,5.6799430064857,9.17911529541016E-02
1,33.82,5.69994280580431,9.00030136108398E-02
1,33.94,5.71994260512292,9.59634780883789E-02
1,34.06,5.73994240444154,9.05990600585938E-02
1,34.18,5.75994220376015,8.76188278198242E-02
1,34.29,5.77994200307876,9.00030136108398E-02
1,34.41,5.79994180239737,9.47713851928711E-02
1,34.53,5.81994160171598,9.41753387451172E-02
1,34.65,5.83994140103459,9.11951065063477E-02
1,34.76,5.85994120035321,9.11951065063477E-02
1,34.88,5.87994099967182,8.94069671630859E-02
1,35,5.89994079899043,8.22544097900391E-02
1,35.12,5.91994059830904,9.65595245361328E-02
1,35.24,5.93994039762765,9.89437103271484E-02
1,35.35,5.95994019694626,9.00030136108398E-02
1,35.47,5.97993999626487,0.095367431640625
1,35.59,5.99993979558349,9.41753387451172E-02
1,35.71,6.0199395949021,9.35792922973633E-02
1,35.83,6.03993939422071,9.11951065063477E-02
1,35.94,6.05993919353932,0.101327896118164
1,36.06,6.07993899285793,9.41753387451172E-02
1,36.18,6.09993879217654,9.65595245361328E-02
1,36.3,6.11993859149516,9.47713851928711E-02
1,36.42,6.13993839081377,9.77516174316406E-02
1,36.53,6.15993819013238,9.65595245361328E-02
1,36.65,6.17993798945099,9.41753387451172E-02
1,36.77,6.1999377887696,0.095367431640625
1,36.88,6.21993758808821,9.95397567749023E-02
1,37,6.23993738740683,0.102519989013672
1,37.12,6.25993718672544,0.102519989013672
1,37.24,6.27993698604405,9.89437103271484E-02
1,37.36,6.29993678536266,0.101327896118164
1,37.47,6.31993658468127,9.71555709838867E-02
1,37.59,6.33993638399989,0.104904174804688
1,37.71,6.3599361833185,0.101327896118164
1,37.83,6.37993598263711,0.103116035461426
1,37.94,6.39993578195572,0.107288360595703
1,38.06,6.41993558127433,0.109672546386719
1,38.18,6.43993538059294,0.101327896118164
1,38.3,6.45993517991155,0.10073184967041
1,38.42,6.47993497923017,0.102519989013672
1,38.53,6.49993477854878,0.103116035461426
1,38.65,6.51993457786739,0.101327896118164
1,38.77,6.539934377186,0.112056732177734
1,38.89,6.55993417650461,0.105500221252441
1,39.01,6.57993397582322,0.107884407043457
1,39.12,6.59993377514184,0.107884407043457
1,39.24,6.61993357446045,0.107288360595703
1,39.36,6.63993337377906,0.10073184967041
1,39.48,6.65993317309767,0.104308128356934
1,39.6,6.67993297241628,0.115633010864258
1,39.71,6.69993277173489,0.108480453491211
1,39.83,6.7199325710535,0.109076499938965
1,39.95,6.73993237037212,0.113248825073242
1,40.07,6.75993216969073,0.112056732177734
1,40.18,6.77993196900934,0.109672546386719
1,40.3,6.79993176832795,0.116229057312012
1,40.42,6.81993156764656,0.113844871520996
1,40.54,6.83993136696517,0.106096267700195
1,40.66,6.85993116628379,0.116825103759766
1,40.77,6.8799309656024,0.115036964416504
1,40.89,6.89993076492101,0.113844871520996
1,41.01,6.91993056423962,0.113248825073242
1,41.13,6.93993036355823,0.115036964416504
1,41.24,6.95993016287684,0.108480453491211
